,raceId,year,round,circuitId,name_x,date,time,quali_date,sprint_date,unix_timestamp,resultId,driverId,constructorId,number,grid,position,positionText,positionOrder,statusId,driverRef,code,name_y
0,1062,2021,11,11,Hungarian Grand Prix,2021-08-01,13:00:00,2021-07-31,\N,1627776000.0,25166,839,214,31,8,1,1,1,1,ocon,OCO,Alpine F1 Team
1,1063,2021,12,13,Belgian Grand Prix,2021-08-29,13:00:00,2021-08-28,\N,1630195200.0,25192,839,214,31,8,7,7,7,1,ocon,OCO,Alpine F1 Team
2,1064,2021,13,39,Dutch Grand Prix,2021-09-05,13:00:00,2021-09-04,\N,1630800000.0,25214,839,214,31,8,9,9,9,11,ocon,OCO,Alpine F1 Team
3,1065,2021,14,14,Italian Grand Prix,2021-09-12,13:00:00,2021-09-10,2021-09-11,1631404800.0,25235,839,214,31,12,10,10,10,1,ocon,OCO,Alpine F1 Team
4,1066,2021,15,71,Russian Grand Prix,2021-09-26,12:00:00,2021-09-25,\N,1632614400.0,25259,839,214,31,9,14,14,14,11,ocon,OCO,Alpine F1 Team
5,1067,2021,16,5,Turkish Grand Prix,2021-10-10,12:00:00,2021-10-09,\N,1633824000.0,25275,839,214,31,12,10,10,10,11,ocon,OCO,Alpine F1 Team
6,1069,2021,17,69,United States Grand Prix,2021-10-24,19:00:00,2021-10-23,\N,1635033600.0,25304,839,214,31,11,\N,R,19,26,ocon,OCO,Alpine F1 Team
7,1070,2021,18,32,Mexico City Grand Prix,2021-11-07,19:00:00,2021-11-06,\N,1636243200.0,25318,839,214,31,19,13,13,13,11,ocon,OCO,Alpine F1 Team
8,1071,2021,19,18,São Paulo Grand Prix,2021-11-14,17:00:00,2021-11-12,2021-11-13,1636848000.0,25333,839,214,31,8,8,8,8,11,ocon,OCO,Alpine F1 Team
9,1051,2021,20,78,Qatar Grand Prix,2021-11-21,14:00:00,2021-11-20,\N,1637452800.0,25350,839,214,31,9,5,5,5,1,ocon,OCO,Alpine F1 Team
10,1072,2021,21,77,Saudi Arabian Grand Prix,2021-12-05,17:30:00,2021-12-04,\N,1638662400.0,25369,839,214,31,9,4,4,4,1,ocon,OCO,Alpine F1 Team
11,1073,2021,22,24,Abu Dhabi Grand Prix,2021-12-12,13:00:00,2021-12-11,\N,1639267200.0,25394,839,214,31,9,9,9,9,1,ocon,OCO,Alpine F1 Team
12,1074,2022,1,3,Bahrain Grand Prix,2022-03-20,15:00:00,2022-03-19,\N,1647734400.0,25412,839,214,31,11,7,7,7,1,ocon,OCO,Alpine F1 Team
13,1075,2022,2,77,Saudi Arabian Grand Prix,2022-03-27,17:00:00,2022-03-26,\N,1648339200.0,25431,839,214,31,5,6,6,6,1,ocon,OCO,Alpine F1 Team
14,1076,2022,3,1,Australian Grand Prix,2022-04-10,05:00:00,2022-04-09,\N,1649548800.0,25452,839,214,31,8,7,7,7,1,ocon,OCO,Alpine F1 Team
15,1077,2022,4,21,Emilia Romagna Grand Prix,2022-04-24,13:00:00,2022-04-22,2022-04-23,1650758400.0,25479,839,214,31,16,14,14,14,11,ocon,OCO,Alpine F1 Team
